region,code,nom,nb_bv,inscrits,votants,taux_participation,nuls,exprimes,bulletins_blancs,taux_bulletins_blancs
,075,"GOUMERE ET TABAGNE, COMMUNES ET SOUS-PREFECTURES",63,17425,9493,54.48,376,9117,124,1.36
,076,"SOROBANGO ET TAGADI, COMMUNES ET SOUS-PREFECTURES",52,16336,9847,60.28,162,9685,117,1.21
,077,"BOAHIA ET KOUASSI-DATEKRO, COMMUNES ET SOUS-PREFECTURES",52,13065,7563,57.89,195,7368,78,1.06
GONTOUGO,078,"KOKOMIAN, TANKESSE ET TIENKOIKRO, COMMUNES ET SOUS-PREFECTURES",67,19298,8991,46.59,505,8486,72,0.85
GONTOUGO,079,"KOUN-FAO, COMMUNE ET SOUS-PREFECTURE",47,15315,7579,49.49,218,7361,45,0.61
GONTOUGO,080,"BANDAKAGNI-TOMORA, DIMANDOUGOU, SANDEGUE ET YOROBODI, COMMUNES ET SOUS-PREFECTURES",63,19968,10862,54.4,37,10825,82,0.76
GONTOUGO,081,"AMANVI, DIAMBA, TANDA ET TCHEDIO, COMMUNES ET SOUS-PREFECTURES",141,39059,21861,55.97,501,21360,117,0.55
GONTOUGO,082,"ASSUEFRY, KOUASSIA-NIAGUINI ET TRANSUA, COMMUNES ET SOUS-PREFECTURES",102,30356,15766,51.94,305,15461,118,0.76
GRANDS PONTS,083,"DABOU, LOPOU ET TOUPAH, COMMUNES ET SOUS-PREFECTURES",226,82680,18971,22.95,401,18570,170,0.92
GRANDS PONTS,084,"AHOUANOU, BACANDA, EBONOU, GRAND-LAHOU ET TOUKOUZOU, COMMUNES ET SOUS-PREFECTURES",145,39303,11713,29.8,289,11424,91,0.8
